geonameid,Place Name,latitude,longitude,feature_class,Category,State Code,City Code,Estimated Visitors,Tourism Rank,Popularity Level
10599466,Saitan Garh,29.87269,79.072,T,Mountain,39.0,64.0,5000,2.79,Less Explored
10599528,Diba Garhi,29.7909,79.01423,T,Mountain,39.0,61.0,5000,2.79,Less Explored
10599571,Khamlekh Garhi,29.78455,79.12852,T,Mountain,39.0,64.0,5000,2.79,Less Explored
10599574,Gujru Garh,29.78139,79.08974,T,Mountain,39.0,61.0,5000,2.79,Less Explored
10599683,Nandatopa,29.96527,79.10429,T,Mountain,39.0,61.0,5000,2.79,Less Explored
10601043,Sidel Gutta,18.2832,78.26698,T,Mountain,40.0,685.0,5000,2.79,Less Explored
10602463,Tignawa Same Shrine,27.04029,82.45065,S,Shrine,36.0,183.0,10000,2.81,Less Explored
10603324,Idgah,27.38059,82.55035,S,Church,36.0,184.0,10000,2.81,Less Explored
10603334,Godavari Island,18.97217,78.62745,T,Island,2.0,Unknown,10000,2.81,Less Explored
10603337,Somanna Gutta,18.98073,78.69183,T,Mountain,40.0,681.0,5000,2.79,Less Explored
10603370,Akkachanal Gutta,18.83499,78.52146,T,Mountain,40.0,533.0,5000,2.79,Less Explored
10603378,Zanda Gutta,18.86647,78.71671,T,Mountain,40.0,681.0,5000,2.79,Less Explored
